Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain
2004-12-24;3;27;29;4;37;6;5;1;10000000
2004-12-17;49;22;19;15;46;9;2;1;26215627
2004-11-26;24;1;34;4;36;8;6;1;43756502
2004-10-22;9;25;1;40;23;3;9;1;25059130
2004-01-10;48;20;45;21;12;6;5;1;29785269
2004-06-08;5;35;44;15;24;6;5;1;24746858
2004-06-18;28;2;40;23;43;6;2;1;12286876
2004-04-06;41;42;34;13;9;7;3;1;12488171
2004-05-21;37;39;29;15;49;4;9;1;10000000
2004-05-14;32;3;1;39;21;2;6;1;33816137
2004-09-04;23;19;10;1;4;2;8;1;25556285
2004-05-03;39;37;4;7;33;5;1;1;20678070
2004-02-13;32;16;29;41;36;9;7;1;15000000
2005-11-11;41;16;36;42;15;5;3;1;45117030
2005-10-14;10;19;11;23;20;6;1;1;15000000
2005-07-10;26;44;21;13;2;3;9;2;15000000
2005-09-30;11;50;48;6;47;1;6;4;25066380
2005-09-16;19;38;12;13;21;3;9;1;75888514
2005-07-29;50;3;19;49;26;5;4;1;115436126
2005-05-20;28;6;47;7;13;8;5;1;43020745
2005-04-22;13;10;24;47;3;9;5;2;23749558
2005-08-04;31;50;25;11;7;3;1;1;64040749
2005-02-18;32;46;20;21;26;8;9;1;10000000
2005-11-02;11;13;25;32;50;7;4;1;34776948
2005-01-14;11;14;29;6;19;3;1;2;26007362
2006-12-29;14;9;6;13;35;3;4;0;66983488
2006-12-22;20;11;43;9;38;2;3;0;53119776
2006-12-15;35;37;9;42;23;3;7;0;39640847
2006-08-12;47;36;17;16;18;1;2;0;26982938
2006-01-12;16;37;8;41;4;2;5;0;15000000
2006-11-24;8;5;40;25;17;5;1;2;15000000
2006-11-17;36;12;33;22;32;2;6;0;183109057
2006-10-11;36;30;14;27;21;2;3;0;153564446
2006-03-11;13;11;44;24;49;9;3;0;131523150
2006-10-27;3;50;44;4;8;8;7;0;113230830
2006-10-20;10;34;47;19;45;6;3;0;96837646
2006-10-13;2;32;38;41;25;5;3;0;82724345
2006-06-10;5;35;11;22;38;7;8;0;69208821
2006-09-29;1;3;24;6;18;5;8;0;59132969
2006-09-22;30;45;49;29;10;8;3;0;47213250
2006-09-15;10;49;26;6;16;7;9;0;35980458
2006-08-09;12;10;32;33;1;8;1;0;25256582
2006-01-09;25;50;7;45;3;9;6;0;15000000
2006-08-25;47;10;28;48;40;8;6;1;57414511
2006-08-18;37;40;50;12;39;1;2;0;45929071
2006-11-08;47;31;46;28;27;5;2;0;35197614
2006-04-08;26;15;32;14;1;7;3;0;24977577
2006-07-28;3;43;29;8;12;6;7;0;15000000
2006-07-21;50;4;38;2;9;8;6;1;25042525
2006-07-14;1;31;7;17;36;8;2;0;15000000
2006-07-07;35;9;7;43;18;7;5;2;68408266
2006-06-30;16;6;15;40;43;1;2;0;58765947
2006-06-23;44;30;9;21;43;9;1;0;46811687
2006-06-16;26;36;1;16;30;9;3;0;35662152
2006-09-06;3;34;39;15;12;4;6;0;25187106
2006-02-06;41;7;48;27;8;6;1;0;15000000
2006-05-26;21;41;12;2;49;3;7;2;15000000
2006-05-19;49;34;25;3;5;8;5;1;15000000
2006-12-05;23;5;20;34;50;1;5;2;25640375
2006-05-05;8;50;16;4;14;9;3;0;15000000
2006-04-28;17;5;33;22;10;7;5;4;25811931
2006-04-21;46;1;22;20;37;1;9;0;15000000
2006-04-14;34;35;26;16;49;6;2;1;25915863
2006-07-04;13;12;29;50;44;4;5;0;15000000
2006-03-31;50;3;45;20;31;7;6;1;75753123
2006-03-24;17;47;28;33;35;4;9;0;65117842
2006-03-17;50;44;5;45;32;7;1;0;51865203
2006-10-03;1;33;21;45;49;4;8;0;39080314
2006-03-03;5;44;10;8;3;3;5;0;26842720
2006-02-24;18;19;1;47;11;7;3;0;15000000
2006-02-17;4;23;38;24;26;4;2;1;27813382
2006-10-02;5;38;6;48;50;6;7;0;15000000
2006-03-02;30;39;9;21;50;3;1;3;183573077
2006-01-27;9;21;15;40;49;4;1;0;152882223
2007-12-28;45;31;20;22;21;9;7;0;15000000
2007-12-21;37;7;44;28;9;7;6;1;27716872
2007-12-14;8;30;36;25;44;4;3;0;15000000
2007-07-12;48;43;4;2;32;1;7;1;27552424
2007-11-30;38;20;12;19;30;9;7;0;15000000
2007-11-23;22;2;48;29;10;9;3;1;27375964
2007-11-16;23;18;33;37;9;1;8;0;15000000
2007-09-11;14;25;36;5;22;6;5;2;15000000
2007-02-11;40;16;3;19;18;2;1;1;41136124
2007-10-26;20;7;38;40;43;8;1;0;27610682
2007-10-19;7;18;34;35;40;7;8;0;15000000
2007-12-10;36;47;21;32;46;3;4;2;15000000
2007-05-10;20;27;35;44;11;5;2;5;15000000
2007-09-28;22;34;44;30;35;4;5;0;130000000
2007-09-21;35;37;17;1;32;8;1;1;27247062
2007-09-14;33;29;5;9;11;7;9;0;15000000
2007-07-09;42;3;34;2;33;5;3;1;15000000
2007-08-31;22;37;23;18;6;6;5;1;39496528
2007-08-24;16;3;42;1;48;2;3;0;26677818
2007-08-17;2;13;42;3;38;7;8;0;15000000
2007-10-08;40;43;49;42;23;6;2;1;52630236
2007-03-08;41;33;37;30;10;1;8;0;39185012
2007-07-27;4;29;21;1;41;8;7;0;27731341
2007-07-20;50;26;10;21;25;9;4;0;15000000
2007-07-13;13;9;31;15;48;6;3;1;56945074
2007-06-07;39;41;4;19;5;9;8;0;39898280
2007-06-29;28;8;33;45;12;1;3;0;26816658
2007-06-22;22;17;16;11;34;5;6;0;15000000
2007-06-15;5;14;40;7;21;3;8;1;26938896
2007-08-06;15;17;25;45;1;8;2;0;15000000
2007-01-06;22;41;42;37;6;6;9;1;15000000
2007-05-25;49;26;50;29;25;8;7;1;15000000
2007-05-18;49;37;34;26;39;2;6;1;15000000
2007-11-05;12;26;49;7;29;6;2;3;53347664
2007-04-05;17;41;35;6;45;1;5;0;39605256
2007-04-27;44;18;7;36;27;1;2;0;26851565
2007-04-20;41;26;32;45;23;3;7;0;15000000
2007-04-13;20;41;38;7;25;3;7;1;15000000
2007-06-04;41;48;29;23;15;6;3;1;26945909
2007-03-30;19;9;46;17;41;1;8;0;15000000
2007-03-23;43;17;5;40;13;3;1;1;41023864
2007-03-16;45;4;31;49;14;9;4;0;27699321
2007-09-03;43;25;3;2;48;9;6;0;15000000
2007-02-03;3;16;48;34;38;8;5;2;42201702
2007-02-23;20;2;22;18;15;5;2;0;28224030
2007-02-16;19;39;20;50;8;6;9;0;15000000
2007-09-02;36;16;46;30;14;8;2;1;100000000
2007-02-02;36;14;27;23;30;1;6;1;27173863
2007-01-26;38;11;23;15;30;4;9;0;15000000
2007-01-19;27;5;13;33;42;4;2;1;15000000
2007-12-01;14;8;25;19;11;3;5;1;15000000
2007-05-01;17;45;36;29;19;6;5;2;78312155
2008-12-26;44;26;2;1;50;1;7;0;26758047
2008-12-19;29;50;46;28;40;5;7;0;15000000
2008-12-12;2;19;42;28;49;7;2;2;15000000
2008-05-12;35;8;21;45;4;5;8;1;15000000
2008-11-28;8;25;11;41;16;4;2;1;28044446
2008-11-21;50;49;21;9;14;8;3;0;15000000
2008-11-14;14;26;10;8;21;4;3;1;15000000
2008-07-11;9;1;17;12;18;3;4;1;15000000
2008-10-31;34;25;3;41;18;5;2;2;42831306
2008-10-24;45;7;15;16;17;6;9;0;28282482
2008-10-17;50;12;10;3;42;1;5;0;15000000
2008-10-10;15;31;22;4;41;6;1;1;29068081
2008-03-10;4;38;13;19;23;2;3;0;15000000
2008-09-26;31;29;33;14;37;2;1;0;130000000
2008-09-19;14;16;19;31;20;9;6;0;15000000
2008-12-09;23;33;37;19;50;7;3;1;15000000
2008-05-09;17;12;39;16;7;3;8;2;119349706
2008-08-29;2;20;37;25;39;8;5;0;91223351
2008-08-22;50;27;29;39;7;7;5;0;70754953
2008-08-15;18;11;17;26;31;6;5;0;54127607
2008-08-08;15;5;16;45;4;7;4;0;40358795
2008-01-08;25;40;22;50;1;1;8;0;27010082
2008-07-25;29;7;15;24;11;7;2;0;15000000
2008-07-18;16;14;44;10;29;6;5;1;15000000
2008-11-07;37;19;11;13;9;3;4;1;15000000
2008-04-07;19;22;48;7;27;7;5;1;15000000
2008-06-27;20;44;5;50;26;5;7;1;58278337
2008-06-20;11;8;36;37;45;3;5;0;43334864
2008-06-13;16;37;44;50;13;9;1;0;29947069
2008-06-06;21;40;19;50;7;2;9;0;15000000
2008-05-30;14;20;49;7;5;8;2;1;15000000
2008-05-23;5;38;9;19;21;1;7;4;15000000
2008-05-16;6;38;9;25;15;4;9;1;55609411
2008-09-05;8;9;42;40;45;7;6;0;40624869
2008-02-05;26;48;45;37;2;8;4;0;27290983
2008-04-25;4;30;26;19;27;8;3;0;15000000
2008-04-18;27;6;7;50;3;5;9;1;58367681
2008-11-04;50;30;25;45;6;5;7;0;42346692
2008-04-04;18;37;47;13;11;6;1;0;28004694
2008-03-28;39;9;29;5;17;3;6;0;15000000
2008-03-21;10;2;22;18;36;6;4;1;15000000
2008-03-14;13;48;35;21;25;4;8;1;28239959
2008-07-03;14;17;7;35;2;6;1;0;15000000
2008-02-29;37;47;49;40;12;9;2;1;15000000
2008-02-22;46;50;4;27;32;8;9;1;28912566
2008-02-15;27;45;12;29;46;7;4;0;15000000
2008-08-02;17;38;28;44;30;1;4;0;130000000
2008-01-02;30;49;45;47;22;4;9;0;15000000
2008-01-25;2;19;9;45;6;7;8;1;76611580
2008-01-18;46;40;16;14;23;8;4;0;57437748
2008-11-01;24;36;50;8;49;4;8;0;40754255
2008-04-01;41;24;10;12;25;3;5;0;26917710
2009-12-25;4;17;5;34;14;5;3;0;15000000
2009-12-18;49;30;35;32;14;8;3;1;59459744
2009-11-12;41;43;44;46;20;2;9;0;43818510
2009-04-12;25;30;19;18;44;3;1;0;29071578
2009-11-27;33;15;13;5;8;8;9;0;15000000
2009-11-20;47;9;28;5;43;2;9;1;15000000
2009-11-13;15;25;32;26;13;4;3;1;16569317
2009-06-11;19;43;45;34;11;5;9;2;102199675
2009-10-30;35;9;33;38;40;6;2;0;79524887
2009-10-23;20;6;18;29;31;8;2;0;60674298
2009-10-16;23;30;31;47;12;3;4;0;44254660
2009-09-10;29;11;46;7;50;4;7;0;29041468
2009-02-10;44;29;24;23;22;5;1;0;15000000
2009-09-25;6;21;18;17;34;9;3;1;15000000
2009-09-18;30;16;41;38;6;2;4;1;100000000
2009-11-09;42;15;12;35;43;6;4;0;43176231
2009-04-09;20;39;6;9;38;9;3;0;28509295
2009-08-28;37;41;49;36;8;7;5;0;15000000
2009-08-21;16;42;31;7;4;5;3;2;75140659
2009-08-14;30;5;8;49;24;9;3;0;57349944
2009-07-08;22;10;31;24;20;7;2;0;41938302
2009-07-31;26;9;20;21;5;6;3;0;28001223
2009-07-24;15;47;35;25;14;9;5;0;15000000
2009-07-17;17;50;8;2;32;3;7;1;57528118
2009-10-07;42;20;6;16;46;1;6;0;42207030
2009-03-07;29;47;46;34;21;6;8;0;28040956
2009-06-26;21;6;11;39;30;8;2;0;15000000
2009-06-19;20;17;16;4;29;7;5;1;15000000
2009-12-06;50;14;6;16;34;6;4;2;58861216
2009-05-06;35;19;40;26;11;2;5;0;42859330
2009-05-29;30;47;2;37;5;6;3;0;28394418
2009-05-22;43;4;14;33;13;6;1;0;15000000
2009-05-15;19;8;42;18;20;5;9;1;15000000
2009-08-05;4;29;23;31;24;9;8;1;126231764
2009-01-05;38;47;31;19;5;3;5;0;98731551
2009-04-24;21;4;24;14;41;5;8;0;77000542
2009-04-17;7;4;21;44;47;1;5;0;58530802
2009-10-04;37;14;9;46;16;2;4;0;42292286
2009-03-04;46;24;32;20;2;1;9;0;28308420
2009-03-27;25;42;36;33;38;6;7;0;15000000
2009-03-20;31;12;35;23;16;4;6;2;29717504
2009-03-13;36;42;26;12;24;1;4;0;16009561
2009-06-03;13;35;25;17;19;5;6;2;100000000
2009-02-27;9;44;5;37;45;9;6;0;43037732
2009-02-20;13;48;9;12;14;1;2;0;28117227
2009-02-13;33;36;40;22;42;1;2;0;15000000
2009-06-02;36;30;20;40;10;3;5;2;15000000
2009-01-30;4;34;35;46;29;5;8;1;28407448
2009-01-23;36;49;33;40;32;2;8;0;15000000
2009-01-16;50;22;17;3;49;3;6;1;15000000
2009-09-01;22;7;15;28;48;4;1;1;57199762
2009-02-01;48;30;29;37;36;1;6;0;40425333
2010-12-31;2;24;43;38;34;1;7;1;15338239
2010-12-24;46;19;42;36;38;8;2;1;19106756
2010-12-17;3;35;29;42;20;3;8;1;43677118
2010-10-12;46;2;10;3;33;8;7;0;28707820
2010-03-12;28;32;46;8;19;4;7;0;15000000
2010-11-26;9;41;36;49;28;7;5;1;45322973
2010-11-19;36;12;15;45;32;9;7;0;30223423
2010-12-11;23;47;7;19;29;6;1;0;16141034
2010-05-11;21;23;33;50;40;5;4;1;29087861
2010-10-29;32;22;16;42;20;8;9;0;15000000
2010-10-22;39;5;11;9;4;3;5;2;29421180
2010-10-15;38;31;2;36;43;7;3;0;15000000
2010-08-10;46;35;39;30;9;6;8;1;129818431
2010-01-10;4;27;6;48;1;1;6;0;100000000
2010-09-24;1;16;48;4;40;1;9;2;28674645
2010-09-17;50;27;38;17;29;3;1;0;15000000
2010-10-09;35;41;21;45;17;5;1;1;15000000
2010-03-09;24;49;47;26;13;4;8;1;15000000
2010-08-27;13;6;30;1;49;1;9;2;15000000
2010-08-20;27;31;5;42;40;6;1;1;15000000
2010-08-13;15;9;47;21;4;7;2;3;15000000
2010-06-08;42;28;13;29;25;4;5;1;15000000
2010-07-30;39;11;3;4;28;8;2;1;28092206
2010-07-23;4;13;37;35;46;9;3;0;15000000
2010-07-16;49;46;45;39;38;7;8;1;42218532
2010-09-07;37;9;49;24;39;3;9;0;28051827
2010-02-07;46;41;36;13;12;8;1;0;15000000
2010-06-25;18;1;8;28;31;9;8;1;27989077
2010-06-18;2;29;31;38;32;4;1;0;15000000
2010-11-06;44;2;36;22;24;2;1;1;15000000
2010-04-06;34;42;17;40;4;9;4;1;15000000
2010-05-28;9;31;32;33;4;3;7;1;15000000
2010-05-21;38;19;50;7;30;4;7;1;15000000
2010-05-14;17;31;43;47;1;3;2;1;100037101
2010-07-05;15;21;6;3;32;7;9;0;78821704
2010-04-30;6;36;22;25;24;3;8;0;60297781
2010-04-23;46;3;7;8;43;6;8;0;43702394
2010-04-16;17;11;26;40;9;9;3;0;28888274
2010-09-04;44;23;24;21;7;3;4;0;15000000
2010-02-04;26;18;12;24;45;5;4;1;15000000
2010-03-26;18;37;8;16;43;2;6;1;44378829
2010-03-19;38;28;30;39;10;7;2;0;29152590
2010-12-03;46;1;26;36;33;7;6;0;15000000
2010-05-03;19;18;49;12;43;9;3;1;46258004
2010-02-26;42;11;29;7;18;7;6;0;30133000
2010-02-19;37;12;38;31;43;3;2;0;15000000
2010-12-02;5;45;1;38;18;6;4;2;129618405
2010-05-02;46;38;34;35;39;3;4;0;100000000
2010-01-29;39;43;30;17;9;7;5;1;29242656
2010-01-22;4;44;27;22;36;9;7;0;15000000
2010-01-15;49;50;26;29;11;4;7;2;59407369
2010-08-01;44;5;14;4;46;9;8;0;42944229
2010-01-01;22;24;27;36;9;7;5;0;28412329
2011-12-30;36;44;43;16;50;8;7;0;51792389
2011-12-27;26;21;25;19;44;7;3;0;38129375
2011-12-23;22;7;24;28;21;1;11;0;30860915
2011-12-20;14;48;1;9;12;7;1;0;15000000
2011-12-16;10;2;23;31;5;5;2;1;46576447
2011-12-13;12;37;18;33;7;1;11;0;34268472
2011-09-12;21;12;47;44;29;2;1;0;26824531
2011-06-12;34;21;20;38;19;9;3;0;15000000
2011-02-12;27;40;7;43;30;9;8;1;27094320
2011-11-29;25;50;11;45;41;7;2;0;15000000
2011-11-25;34;14;26;19;28;5;8;1;35062896
2011-11-22;16;40;38;24;18;2;4;0;21897137
2011-11-18;39;44;24;4;12;2;4;0;15000000
2011-11-15;47;17;22;6;45;3;11;1;15000000
2011-11-11;30;18;1;4;23;3;7;1;67939184
2011-08-11;40;15;4;29;1;1;5;0;54417326
2011-04-11;41;50;11;43;14;9;2;0;46270560
2011-01-11;20;45;23;14;46;1;11;0;33703338
2011-10-28;39;16;20;17;50;4;8;0;26983680
2011-10-25;39;28;22;12;27;4;10;0;15000000
2011-10-21;37;19;2;33;46;5;8;2;47998649
2011-10-18;46;18;37;48;23;2;10;0;35273363
2011-10-14;47;23;12;29;32;3;5;0;27483912
2011-11-10;12;16;4;1;48;9;10;0;15000000
2011-07-10;42;34;18;38;26;8;5;1;117705979
2011-04-10;14;16;23;45;38;8;11;0;100000000
2011-09-30;28;15;44;31;5;1;6;3;48578058
2011-09-27;28;18;40;27;35;3;5;0;35496319
2011-09-23;6;33;48;14;34;6;2;0;27447714
2011-09-20;25;38;19;9;36;11;7;0;15000000
2011-09-16;39;2;42;17;8;3;10;1;15000000
2011-09-13;28;32;49;9;30;9;10;1;162256622
2011-09-09;21;5;34;31;28;2;1;0;147365854
2011-06-09;42;35;50;48;47;9;8;0;127472057
2011-02-09;37;12;26;38;44;4;7;0;115692111
2011-08-30;46;8;2;10;19;5;9;0;98519380
2011-08-26;25;45;22;33;12;5;7;0;89057638
2011-08-23;42;50;6;14;4;2;4;0;74844027
2011-08-19;16;6;31;28;14;11;2;0;66489770
2011-08-16;45;18;1;13;17;8;3;0;53726356
2011-12-08;7;20;37;10;27;7;4;0;46432977
2011-09-08;36;24;34;7;23;11;8;0;34158168
2011-05-08;34;32;18;14;13;1;10;0;26847222
2011-02-08;8;33;14;24;5;8;3;0;15000000
2011-07-29;37;38;19;27;12;5;10;1;27315669
2011-07-26;5;1;25;48;22;11;3;0;15000000
2011-07-22;4;50;15;49;23;2;6;2;15000000
2011-07-19;16;3;25;35;26;5;9;1;23148546
2011-07-15;26;6;33;39;34;3;4;0;15000000
2011-12-07;19;17;42;45;38;9;10;1;185000000
2011-08-07;12;13;40;49;23;7;10;0;185000000
2011-05-07;28;47;29;11;49;5;1;0;176715803
2011-01-07;11;23;31;8;46;9;8;0;156881529
2011-06-28;16;15;44;30;50;3;2;0;134366394
2011-06-24;41;20;5;30;16;11;6;0;120909822
2011-06-21;49;50;20;17;35;4;3;0;103328216
2011-06-17;11;22;21;16;44;8;3;0;92688909
2011-06-14;41;19;48;5;12;8;10;0;77116731
2011-10-06;37;20;3;48;19;8;11;0;68829142
2011-07-06;25;38;40;6;36;10;4;0;54804890
2011-03-06;49;40;50;39;4;2;5;0;46382251
2011-05-31;22;9;10;50;1;11;5;0;33899735
2011-05-27;28;9;49;25;17;9;8;0;27342236
2011-05-24;16;23;24;29;26;2;9;0;15000000
2011-05-20;42;25;10;20;14;8;11;1;27642654
2011-05-17;37;20;21;45;46;3;2;0;15000000
2011-05-13;17;47;11;36;9;2;1;1;121019633
2011-10-05;28;3;45;10;15;7;5;0;100000000
2011-06-05;28;16;20;22;11;4;9;1;28772008
2011-04-29;38;40;25;15;41;1;2;0;15000000
2011-04-22;22;45;48;11;36;1;4;1;43415570
2011-04-15;4;41;6;21;39;2;6;0;29316256
2011-08-04;21;47;23;38;50;6;2;0;15000000
2011-01-04;17;33;22;21;4;4;8;1;15000000
2011-03-25;12;21;6;33;27;7;3;2;138210534
2011-03-18;50;13;26;1;20;7;6;0;107470965
2011-11-03;17;24;37;19;46;2;7;0;82769625
2011-04-03;28;41;25;11;27;8;5;0;61901148
2011-02-25;42;45;13;48;12;3;9;0;44068144
2011-02-18;45;3;49;15;2;9;5;0;28569174
2011-11-02;15;14;12;19;23;7;8;0;15000000
2011-04-02;47;35;11;2;24;5;9;5;28947728
2011-01-28;41;24;23;42;13;5;1;0;15000000
2011-01-21;21;11;13;3;18;5;4;2;29004254
2011-01-14;44;2;24;14;39;7;6;0;15000000
2011-07-01;32;22;1;48;50;7;6;1;15000000
2012-12-28;26;49;27;24;17;3;5;0;26703677
2012-12-25;14;20;32;23;18;3;10;0;15000000
2012-12-21;40;5;3;42;22;3;10;1;101835641
2012-12-18;35;14;44;18;20;5;2;0;86060443
2012-12-14;40;29;11;43;10;11;3;0;76452078
2012-11-12;50;4;9;1;43;6;8;0;63235218
2012-07-12;10;18;31;42;16;2;5;0;54583279
2012-04-12;29;5;28;44;10;2;4;0;42363921
2012-11-30;18;23;40;24;10;3;4;0;34324723
2012-11-27;49;44;6;10;23;7;1;0;22479773
2012-11-23;11;20;40;9;1;5;1;0;15000000
2012-11-20;42;28;45;30;49;10;5;1;22756968
2012-11-16;15;19;41;23;10;2;9;0;15000000
2012-11-13;11;16;21;24;29;2;6;1;169837015
2012-09-11;47;28;14;21;22;5;4;0;152867729
2012-06-11;35;25;20;41;7;1;9;0;132672800
2012-02-11;6;10;3;44;11;3;4;0;119125945
2012-10-30;23;44;25;24;31;2;3;0;102511027
2012-10-26;9;5;6;38;27;5;11;0;91421975
2012-10-23;1;35;38;50;28;2;10;0;76874851
2012-10-19;16;40;44;37;29;8;10;0;67874748
2012-10-16;41;10;40;49;32;2;8;0;54755945
2012-12-10;35;7;17;43;6;2;8;0;46640893
2012-09-10;23;8;10;25;2;8;9;0;34447603
2012-05-10;19;16;18;21;9;3;2;0;26871790
2012-02-10;16;42;21;36;4;8;7;0;15000000
2012-09-28;20;26;30;33;23;6;9;1;100000000
2012-09-25;7;25;27;48;49;1;4;0;33985873
2012-09-21;41;4;34;43;19;7;11;0;26523681
2012-09-18;38;7;39;44;6;7;9;0;15000000
2012-09-14;27;10;44;23;3;9;7;1;26580854
2012-11-09;15;6;37;22;44;2;4;0;15000000
2012-07-09;15;35;13;30;42;4;6;1;47319633
2012-04-09;18;39;17;44;11;10;5;0;34855964
2012-08-31;31;28;16;48;33;11;7;0;26982209
2012-08-28;1;26;25;44;18;5;4;0;15000000
2012-08-24;6;5;19;37;12;7;3;1;47570390
2012-08-21;17;5;38;4;48;4;3;0;34941089
2012-08-17;19;25;33;44;28;8;2;0;26921509
2012-08-14;45;16;42;1;38;9;10;0;15000000
2012-10-08;50;21;17;48;11;9;10;1;190000000
2012-07-08;20;50;34;46;27;3;2;0;190000000
2012-03-08;34;35;42;24;46;5;1;0;180011715
2012-07-31;35;39;4;36;29;9;8;0;156962440
2012-07-27;15;48;14;23;21;2;10;0;141583959
2012-07-24;18;25;4;16;44;11;1;0;112218632
2012-07-20;19;23;10;45;49;9;10;0;101392999
2012-07-17;24;2;43;7;46;10;8;0;85954935
2012-07-13;18;46;35;25;8;9;4;0;76630917
2012-10-07;37;1;24;16;3;8;1;0;61268725
2012-06-07;40;42;38;31;32;3;1;0;53006942
2012-03-07;22;7;2;40;27;6;3;0;40811640
2012-06-29;14;17;28;39;29;11;1;0;33263796
2012-06-26;11;22;35;20;1;10;8;0;21896089
2012-06-22;18;14;19;43;49;7;3;0;15000000
2012-06-19;17;20;50;7;35;5;11;1;15000000
2012-06-15;48;38;27;22;10;3;7;2;26828456
2012-12-06;30;26;48;15;8;9;10;0;15000000
2012-08-06;11;22;5;34;40;9;11;2;158052844
2012-05-06;13;49;37;47;34;8;9;0;134974395
2012-01-06;26;2;36;14;4;9;10;0;120024029
2012-05-29;28;17;25;15;8;3;11;0;101071615
2012-05-25;35;12;22;49;46;2;8;0;89779597
2012-05-22;31;32;41;16;37;7;1;0;74848794
2012-05-18;29;50;43;47;13;9;11;0;65687547
2012-05-15;13;2;50;11;26;5;2;0;51753790
2012-11-05;1;17;13;44;38;2;11;0;44093380
2012-08-05;3;34;48;38;21;5;8;0;32541206
2012-04-05;26;41;40;39;3;1;2;0;25968725
2012-01-05;4;15;41;5;19;11;9;0;15000000
2012-04-27;36;43;30;27;20;1;6;1;44407281
2012-04-24;8;24;48;43;9;3;5;0;32867376
