Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain
2016-05-02;46;32;27;3;41;4;8;0;15000000
2016-02-02;36;21;10;6;9;2;6;1;15000000
2016-01-29;29;32;23;1;5;1;7;2;132376636
2016-01-26;15;40;24;48;38;2;9;0;116044888
2016-01-22;27;10;30;47;12;8;9;0;104897313
2016-01-19;2;30;38;43;46;7;2;0;91076034
2016-01-15;43;38;19;10;46;1;11;0;81942693
2016-12-01;2;10;30;44;1;1;8;0;69720920
2016-08-01;35;33;26;40;5;3;8;0;61385482
2016-05-01;36;10;6;39;31;6;10;0;49900228
2016-01-01;44;37;38;39;4;4;7;0;42094520
2017-12-29;4;8;22;23;48;1;12;1;38906715
2017-12-26;4;17;30;43;44;2;10;0;24717288
2017-12-22;5;24;30;31;43;3;6;0;17000000
2017-12-19;8;15;30;38;46;4;7;1;135346147
2017-12-15;25;30;31;42;50;2;11;0;126429055
2017-12-12;39;20;37;50;44;4;8;0;115458908
2017-08-12;4;22;30;32;34;3;4;0;107213099
2017-05-12;48;11;44;43;36;2;7;0;97420825
2017-01-12;5;46;29;35;24;11;12;0;90060314
2017-11-28;42;1;12;6;18;2;7;0;80976656
2017-11-24;19;24;28;30;50;3;10;0;74515266
2017-11-21;31;28;10;2;14;7;5;0;61046362
2017-11-17;35;36;26;42;20;5;12;0;51634094
2017-11-14;16;40;39;41;14;8;10;0;38477171
2017-10-11;37;36;29;22;13;1;9;0;29800638
2017-07-11;37;19;41;20;7;12;2;0;17000000
2017-03-11;41;5;33;17;12;4;9;1;28709464
2017-10-31;46;12;43;36;1;3;5;0;17000000
2017-10-27;39;23;16;32;3;1;4;1;17000000
2017-10-24;27;9;33;13;11;7;10;1;65407072
2017-10-20;4;27;23;30;17;3;8;0;55649983
2017-10-17;19;26;17;13;36;2;3;0;42395360
2017-10-13;23;37;50;29;45;5;11;0;33140111
2017-10-10;36;4;37;21;34;3;6;0;17000000
2017-06-10;1;9;15;19;25;1;7;1;190000000
2017-03-10;32;6;50;24;48;1;5;0;190000000
2017-09-29;18;32;7;48;19;3;7;0;178941892
2017-09-26;40;29;1;48;41;6;12;0;163620566
2017-09-22;6;11;31;39;42;1;3;0;152701511
2017-09-19;45;21;1;8;30;2;3;0;139531728
2017-09-15;44;49;13;18;37;9;12;0;130000000
2017-12-09;35;17;29;10;27;4;11;0;37430146
2017-08-09;9;24;42;47;49;1;5;0;28504963
2017-05-09;28;18;29;6;9;9;1;0;17000000
2017-01-09;3;7;8;14;49;5;8;1;28287321
2017-08-29;4;12;32;15;38;1;5;0;17000000
2017-08-25;15;7;1;47;5;9;12;1;17000000
2017-08-22;10;12;17;3;27;3;5;1;44105265
2017-08-18;39;42;24;45;2;2;8;0;35595611
2017-08-15;10;14;30;35;46;4;10;0;24238049
2017-11-08;18;28;39;46;48;5;12;0;17000000
2017-08-08;26;15;40;25;41;4;5;1;36563144
2017-04-08;29;30;41;40;36;9;2;0;28246597
2017-01-08;29;24;21;30;14;8;10;0;17000000
2017-07-28;41;9;31;5;29;2;4;1;57871110
2017-07-25;14;44;43;48;12;2;11;0;45205505
2017-07-21;8;1;26;49;9;5;9;0;36567350
2017-07-18;41;27;1;45;25;5;7;0;25104936
2017-07-14;21;14;20;47;11;10;7;0;17000000
2017-11-07;50;26;42;22;14;8;10;1;17000000
2017-07-07;11;20;35;37;45;3;6;1;28975630
2017-04-07;22;25;10;37;49;8;5;0;17000000
2017-06-30;35;50;39;17;47;6;8;1;100000000
2017-06-27;45;17;21;9;28;1;3;0;79203977
2017-06-23;4;31;21;3;38;3;7;0;72762689
2017-06-20;44;43;11;18;26;8;10;0;59644334
2017-06-16;38;42;15;17;41;9;12;0;50405630
2017-06-13;12;3;22;27;49;4;11;0;38110538
2017-09-06;9;39;27;20;43;10;11;0;29190553
2017-06-06;25;40;20;22;37;3;7;0;17000000
2017-02-06;8;42;33;24;10;3;9;1;153873716
2017-05-30;27;48;38;12;7;6;9;0;139962742
2017-05-26;5;7;26;36;39;2;10;0;130028601
2017-05-23;15;8;42;25;27;1;4;0;118337309
2017-05-19;30;12;9;19;11;4;9;0;109192064
2017-05-16;20;8;30;11;15;3;8;0;98136932
2017-12-05;2;20;28;29;44;3;9;0;90507121
2017-09-05;26;22;16;12;8;6;7;0;81075588
2017-05-05;7;43;30;3;35;1;3;0;74483969
2017-02-05;27;25;19;6;23;11;12;0;66014926
2017-04-28;14;20;25;30;39;2;8;0;57367996
2017-04-25;11;9;32;19;43;3;9;0;44628597
2017-04-21;2;13;22;49;16;4;5;0;36047524
2017-04-18;22;17;45;38;31;5;12;0;24655351
2017-04-14;33;20;4;14;23;6;10;0;17000000
2017-11-04;5;21;22;31;49;2;8;1;83397527
2017-07-04;2;10;19;35;50;6;7;0;76652440
2017-04-04;24;33;9;1;34;2;6;0;68205610
2017-03-31;17;24;26;28;45;4;12;0;58432786
2017-03-28;9;13;31;33;46;6;10;0;45620296
2017-03-24;2;21;17;27;34;5;9;0;36870612
2017-03-21;47;23;20;44;1;4;11;0;25165272
2017-03-17;19;29;36;6;10;3;9;0;17000000
2017-03-14;21;5;44;36;3;3;6;1;80571199
2017-10-03;38;49;31;47;36;8;11;0;73878559
2017-07-03;6;37;50;41;48;4;5;0;59887734
2017-03-03;47;2;11;29;30;1;12;0;50129163
2017-02-28;35;31;10;42;20;2;12;0;37350466
2017-02-24;13;2;43;22;4;8;9;0;28811185
2017-02-21;19;41;49;13;45;3;4;0;17000000
2017-02-17;19;25;33;36;48;2;9;1;17000000
2017-02-14;44;40;24;2;10;3;10;2;47141418
2017-10-02;43;26;7;35;21;2;9;0;37000000
2017-07-02;44;38;4;31;10;8;10;0;25000000
2017-03-02;3;4;15;46;50;5;9;0;17000000
2017-01-31;4;17;44;23;3;6;9;1;25000000
2017-01-27;17;20;28;45;48;5;9;0;17000000
2017-01-24;5;1;23;17;7;3;8;1;88000000
2017-01-20;17;10;27;49;31;3;5;0;80000000
2017-01-17;43;4;25;16;47;2;10;0;71000000
2017-01-13;3;7;16;26;50;4;7;0;61000000
2017-10-01;44;29;35;11;2;4;9;0;45000000
2017-06-01;10;14;18;21;49;9;11;0;37000000
2017-03-01;34;27;49;23;19;1;11;0;25000000
2018-12-28;13;16;34;35;45;10;12;0;120363454
2018-12-25;4;5;8;31;43;2;9;0;109785346
2018-12-21;2;12;15;34;50;3;4;0;102382992
2018-12-18;1;9;18;39;48;5;7;0;92347677
2018-12-14;12;29;38;42;44;2;12;0;85503050
2018-11-12;4;7;13;23;42;1;3;0;77047465
2018-07-12;11;17;26;37;48;1;10;0;70885902
2018-04-12;21;19;45;20;42;8;9;0;58045709
2018-11-30;3;10;12;23;26;1;12;0;48850310
2018-11-27;4;16;17;18;32;2;11;0;36531328
2018-11-23;25;30;5;26;8;3;10;0;28078913
2018-11-20;6;19;39;45;48;7;12;0;17000000
2018-11-16;9;10;13;28;41;1;12;1;50340148
2018-11-13;2;7;10;13;42;3;6;0;38112925
2018-09-11;14;17;32;37;49;11;12;0;29387682
2018-06-11;14;24;36;40;43;2;9;0;17000000
2018-02-11;5;15;17;37;44;7;11;1;87021202
2018-10-30;44;27;23;17;43;1;12;0;78587093
2018-10-26;5;18;21;31;35;6;9;0;72210652
2018-10-23;1;2;5;21;32;2;12;0;58925021
2018-10-19;1;3;29;47;48;3;12;0;49434483
2018-10-16;15;28;37;40;42;1;6;0;37140191
2018-12-10;4;9;12;31;43;5;8;0;28511487
2018-09-10;3;12;36;44;45;8;11;0;17000000
2018-05-10;8;16;24;26;35;3;11;1;17000000
2018-02-10;7;17;29;37;45;3;11;1;162403002
2018-09-28;2;4;8;27;50;2;9;0;151876472
2018-09-25;6;15;20;30;38;4;7;0;139272150
2018-09-21;5;7;21;25;37;3;4;0;130000000
2018-09-18;3;8;10;32;45;4;12;0;45748295
2018-09-14;1;3;33;40;45;3;4;0;36785881
2018-11-09;9;18;32;38;46;2;3;0;25114954
2018-07-09;50;31;27;4;23;1;8;0;17000000
2018-04-09;5;14;28;30;47;4;11;1;45447459
2018-08-31;4;30;31;38;42;4;6;0;36535987
2018-08-28;4;16;32;42;46;8;12;0;25031511
2018-08-24;3;14;31;36;50;1;12;0;17000000
2018-08-21;16;23;42;43;49;10;12;1;107839228
2018-08-17;2;15;18;24;43;8;12;0;99896146
2018-08-14;1;15;18;25;31;9;11;0;90786197
2018-10-08;18;20;36;43;44;3;9;0;83831487
2018-07-08;16;28;29;30;36;8;10;0;75479227
2018-03-08;7;26;36;38;43;6;12;0;69369394
2018-07-31;20;25;34;42;45;6;11;0;56774958
2018-07-27;11;17;22;23;41;6;11;0;47636023
2018-07-24;2;4;23;39;40;3;9;0;35993507
2018-07-20;2;15;40;43;46;3;6;0;27914266
2018-07-17;4;6;27;48;50;1;11;0;17000000
2018-07-13;1;4;14;21;49;2;12;1;17000000
2018-10-07;3;8;26;33;45;7;10;1;65538512
2018-06-07;8;30;33;38;48;2;10;0;56241097
2018-03-07;1;12;15;29;48;3;5;0;44211419
2018-06-29;15;21;23;40;48;3;12;0;35759659
2018-06-26;15;16;20;34;50;4;7;0;24657714
2018-06-22;14;25;39;41;44;2;8;0;17000000
2018-06-19;7;19;26;42;50;4;9;1;36158964
2018-06-15;23;26;33;38;49;1;12;0;28072727
2018-12-06;7;21;23;36;38;6;8;0;17000000
2018-08-06;8;19;32;43;46;2;8;1;17000000
2018-05-06;9;15;22;39;46;4;5;1;17000000
2018-01-06;17;18;24;29;40;4;5;2;74290358
2018-05-29;6;11;20;38;43;2;4;0;66136267
2018-05-25;13;15;16;28;41;4;5;0;57140617
2018-05-22;1;11;37;41;48;8;12;0;44872308
2018-05-18;5;8;10;13;31;3;6;0;36663314
2018-05-15;4;16;20;31;39;2;12;0;25146151
2018-11-05;3;22;34;49;50;8;11;0;17000000
2018-08-05;17;25;35;39;44;2;5;1;45566998
2018-04-05;6;12;23;39;45;9;12;0;36945285
2018-01-05;6;15;17;42;48;4;6;0;24728362
2018-04-27;12;24;40;41;46;5;12;0;17000000
2018-04-24;20;23;28;30;44;3;7;1;138724202
2018-04-20;3;16;25;39;44;7;11;0;130000000
2018-04-17;15;27;33;39;50;4;6;0;25723280
2018-04-13;5;25;34;48;50;6;7;0;17000000
2018-10-04;14;27;39;46;48;11;12;1;17000000
2018-06-04;1;29;33;45;47;4;8;1;76119641
2018-03-04;3;8;16;40;43;5;8;0;67723106
2018-03-30;12;17;28;35;47;7;11;0;58701125
2018-03-27;17;20;23;40;46;9;10;0;46327391
2018-03-23;5;7;11;46;50;8;11;0;37457698
2018-03-20;26;29;37;39;44;9;11;0;25434576
2018-03-16;4;17;24;27;31;10;11;0;17000000
2018-03-13;9;11;13;33;49;6;12;1;61521581
2018-09-03;9;14;21;32;44;1;12;0;51518629
2018-06-03;15;20;26;31;44;2;9;0;38461489
2018-02-03;2;7;34;45;48;1;12;0;29164811
2018-02-27;3;31;41;48;50;8;11;0;17000000
2018-02-23;18;17;28;47;10;3;7;2;177724496
2018-02-20;6;14;19;25;29;5;11;0;161121640
2018-02-16;10;12;23;32;50;4;10;0;150559073
2018-02-13;10;13;17;21;44;1;10;0;138421493
2018-09-02;22;31;36;38;44;1;11;0;129291731
2018-06-02;8;17;28;34;38;6;12;0;117593590
2018-02-02;14;34;36;39;48;2;3;0;108738581
2018-01-30;11;15;21;27;35;4;5;0;98248326
2018-01-26;6;15;24;28;48;4;9;0;91021687
2018-01-23;5;8;9;23;24;7;8;0;81794527
2018-01-19;3;8;17;44;50;2;7;0;75062595
2018-01-16;20;23;31;34;46;3;12;0;61162041
2018-12-01;13;21;23;30;45;4;6;0;51154443
2018-09-01;6;12;15;38;49;2;9;0;37933940
2018-05-01;2;5;20;38;41;4;8;0;28911186
2018-02-01;10;20;21;28;48;1;8;0;17000000
2019-12-31;26;31;33;41;48;2;4;0;52720345
2019-12-27;1;7;22;26;35;5;10;0;38682870
2019-12-24;3;11;13;14;47;3;6;0;27481033
2019-12-20;8;24;30;32;34;3;4;0;17000000
2019-12-17;1;7;12;25;49;6;9;1;48949099
2019-12-13;9;16;18;23;32;2;10;0;39409788
2019-10-12;2;10;19;21;47;2;8;0;25800035
2019-06-12;1;3;27;39;46;1;10;0;17000000
2019-03-12;18;31;32;38;48;4;12;1;48061132
2019-11-29;3;7;12;42;50;6;8;0;38399547
2019-11-26;2;3;15;19;34;5;8;0;25884845
2019-11-22;3;21;32;34;48;3;11;0;17000000
2019-11-19;8;10;15;30;42;4;6;1;122766852
2019-11-15;3;13;20;32;34;4;11;0;114675404
2019-12-11;1;21;23;25;39;2;4;0;104800336
2019-08-11;8;17;20;23;45;2;8;0;97372165
2019-05-11;9;14;25;33;48;2;12;0;87082433
2019-01-11;2;20;39;44;48;5;7;0;80266472
2019-10-29;16;18;28;42;49;5;10;0;72065538
2019-10-25;34;37;39;40;50;4;10;0;61669532
2019-10-22;2;5;32;33;47;7;8;0;48515733
2019-10-18;8;18;22;41;42;11;12;0;38860931
2019-10-15;3;28;31;32;34;4;5;0;26357631
2019-11-10;2;14;19;42;45;5;6;0;17000000
2019-08-10;7;10;15;44;49;3;12;1;190000000
2019-04-10;6;9;35;41;44;6;9;0;190000000
2019-01-10;2;11;18;40;46;1;4;0;190000000
2019-09-27;24;37;41;43;46;2;8;0;190000000
2019-09-24;2;33;42;47;48;1;2;0;190000000
2019-09-20;8;21;25;38;50;4;8;0;189603734
2019-09-17;22;45;43;44;37;1;12;0;175143429
2019-09-13;1;12;27;42;47;6;7;0;164055006
2019-10-09;3;22;25;30;49;3;6;0;149857027
2019-06-09;10;13;22;40;48;2;5;0;139970283
2019-03-09;7;11;38;39;44;7;10;0;128170100
2019-08-30;25;27;45;46;49;4;6;0;119176433
2019-08-27;8;26;35;43;47;1;9;0;108433046
2019-08-23;4;17;35;42;45;2;8;0;100840609
2019-08-20;20;22;23;24;37;1;4;0;91270047
2019-08-16;9;10;27;37;42;1;5;0;84510207
2019-08-13;13;29;31;33;40;2;3;0;76458286
2019-09-08;2;14;35;41;42;10;11;0;70120308
2019-06-08;12;13;29;36;38;4;12;0;57394563
2019-02-08;13;22;33;44;50;2;5;0;48088964
2019-07-30;15;20;23;27;40;3;6;0;36345090
2019-07-26;2;5;27;37;42;3;10;0;27844950
2019-07-23;1;14;19;23;38;3;7;0;17000000
2019-07-19;13;14;17;26;28;2;7;1;107683454
2019-07-16;5;13;18;39;3;8;7;0;97518039
2019-12-07;2;31;39;45;47;4;8;0;90471737
2019-09-07;7;29;32;36;41;6;7;0;81747157
2019-05-07;2;9;20;34;42;6;9;0;75229368
2019-02-07;19;44;11;29;45;12;8;0;67120223
2019-06-28;1;3;16;33;49;2;11;0;57532742
2019-06-25;6;26;27;34;46;1;9;0;45289917
2019-06-21;5;8;9;25;39;3;7;0;36686125
2019-06-18;12;24;37;40;44;3;7;0;25307673
2019-06-14;1;13;30;31;39;2;7;0;17000000
2019-11-06;25;27;39;42;46;11;12;1;138716863
2019-07-06;1;4;16;20;34;2;5;0;130000000
2019-04-06;31;32;9;39;41;8;2;0;25380126
2019-05-31;1;23;24;26;35;1;11;0;17000000
2019-05-28;7;19;20;28;29;1;5;2;65353668
2019-05-24;5;16;23;30;49;6;7;0;56397248
2019-05-21;32;33;34;39;47;8;12;0;44599323
2019-05-17;16;28;42;43;45;6;7;0;36088260
2019-05-14;10;14;17;25;50;2;10;0;24956872
2019-10-05;1;4;27;45;48;1;7;0;17000000
2019-07-05;7;20;26;32;47;2;11;1;25024461
2019-03-05;2;9;20;27;43;5;6;0;17000000
2019-04-30;5;12;20;26;48;2;11;1;25326022
2019-04-26;33;35;50;47;14;11;9;0;17000000
2019-04-23;18;23;27;42;44;2;7;1;44153561
2019-04-19;7;8;32;41;49;5;11;0;36104655
2019-04-16;1;8;15;44;49;2;11;0;25270377
2019-12-04;1;28;35;36;46;6;9;0;17000000
2019-09-04;18;21;29;38;41;1;11;1;79149373
2019-05-04;7;45;10;1;29;5;3;0;72846386
2019-02-04;9;26;16;2;36;6;7;0;59503555
2019-03-29;13;23;26;32;47;6;10;0;49918767
2019-03-26;12;19;23;43;47;2;6;0;37479115
2019-03-22;4;17;26;30;43;6;11;0;28719145
2019-03-19;1;6;9;34;47;7;12;0;17000000
2019-03-15;46;24;42;15;3;12;9;1;83410540
2019-12-03;5;7;13;19;31;2;9;0;74349024
2019-08-03;17;18;19;24;40;4;8;0;63920702
2019-05-03;6;10;16;39;46;8;11;0;50394785
2019-01-03;6;9;19;26;31;11;12;0;40737694
2019-02-26;3;15;29;35;47;3;4;0;25879457
2019-02-22;3;27;29;33;50;3;7;0;17000000
2019-02-19;1;8;18;19;39;7;9;1;175475380
2019-02-15;15;27;34;38;49;2;10;0;164624365
2019-12-02;6;34;36;41;50;1;5;0;151629098
2019-08-02;11;12;13;39;46;7;10;0;141607621
2019-05-02;14;25;31;37;43;2;3;0;129262876
2019-01-02;3;21;26;41;46;1;6;0;120000000
2019-01-29;14;24;26;32;39;3;8;0;85646002
2019-01-25;1;6;13;15;16;6;10;0;78799794
2019-01-22;9;23;29;41;49;8;10;0;70256484
2019-01-18;5;6;16;30;46;5;10;0;60264632
2019-01-15;33;22;35;25;29;3;6;0;47436060
2019-11-01;1;19;31;39;48;1;6;0;38040648
2019-08-01;3;19;22;31;32;2;11;0;25825451
2019-04-01;7;11;19;27;37;6;10;0;17000000
2019-01-01;1;8;11;25;28;4;6;1;129645665
2020-12-29;7;32;39;40;45;3;8;0;28138113
2020-12-25;16;21;27;30;32;3;5;0;17000000
2020-12-22;2;10;16;42;50;4;11;1;43704037
2020-12-18;2;3;13;17;21;7;8;0;31733127
2020-12-15;9;13;21;29;35;1;2;0;17000000
2020-11-12;6;9;13;24;41;3;12;1;200000000
2020-08-12;1;4;21;24;46;2;12;0;200000000
2020-04-12;14;20;27;34;38;1;11;0;200000000
2020-01-12;14;20;29;47;49;4;12;0;178983729
2020-11-27;2;5;8;14;16;8;9;0;163105527
2020-11-24;25;33;38;42;50;8;12;0;144228546
2020-11-20;28;29;39;48;50;5;7;0;130000000
2020-11-17;16;19;25;30;44;2;6;0;77412811
2020-11-13;1;5;17;28;31;1;10;0;67599950
2020-10-11;3;19;29;32;38;5;12;0;50553655
2020-06-11;7;12;37;40;50;1;2;0;39829739
2020-03-11;5;7;18;20;30;6;7;0;26511570
2020-10-30;12;16;20;21;28;3;9;0;17000000
2020-10-27;13;15;28;32;44;3;12;1;87757466
2020-10-23;10;15;19;21;23;3;12;0;77965255
2020-10-20;5;6;15;37;42;3;4;0;65338543
2020-10-16;15;33;38;40;50;3;6;0;54453448
2020-10-13;5;14;38;41;46;1;10;0;40315607
2020-09-10;11;15;35;41;50;5;8;0;30301316
2020-06-10;4;21;36;41;47;9;11;0;17000000
2020-02-10;6;12;15;40;45;3;9;1;30627859
2020-09-29;4;14;16;41;44;11;12;0;17000000
2020-09-25;19;23;34;37;45;1;7;1;130000000
2020-09-22;16;25;28;39;40;1;6;0;77251357
2020-09-18;2;10;19;25;45;1;7;0;67276035
2020-09-15;16;20;25;30;38;6;8;0;51364535
2020-11-09;34;38;42;43;45;9;12;0;40532810
2020-08-09;2;9;31;35;41;9;12;0;27031840
2020-04-09;6;22;29;40;43;4;7;0;17000000
2020-01-09;4;8;10;33;46;8;11;1;157170843
2020-08-28;7;12;16;17;31;7;9;0;142306851
2020-08-25;18;37;39;30;7;10;8;0;125020060
2020-08-21;10;15;35;44;50;3;5;0;111858946
2020-08-18;6;12;17;34;42;5;12;0;96747721
2020-08-14;9;10;19;42;49;4;12;0;86162555
2020-11-08;8;13;14;42;50;3;9;0;73494414
2020-07-08;5;20;21;36;41;6;11;0;64058391
2020-04-08;42;2;5;1;15;8;5;0;49112673
2020-07-31;21;24;30;46;49;2;5;0;38953665
2020-07-28;9;13;15;17;34;2;7;0;26261754
2020-07-24;8;9;27;28;50;4;12;0;17000000
2020-07-21;14;15;24;29;42;2;4;1;49564587
2020-07-17;7;15;27;41;43;7;9;0;39348808
2020-07-14;11;22;30;37;47;9;10;0;26440749
2020-10-07;15;17;23;30;38;2;7;0;17000000
2020-07-07;12;16;23;33;41;8;10;1;144542315
2020-03-07;4;16;27;37;39;3;6;0;130000000
2020-06-30;1;6;11;28;42;2;10;0;62297693
2020-06-26;1;10;12;21;26;5;11;0;51471751
2020-06-23;19;46;49;12;2;8;1;0;38429546
2020-06-19;5;14;19;24;43;3;11;0;29065639
2020-06-16;4;9;11;17;39;2;10;0;17000000
2020-12-06;2;24;39;45;46;4;8;1;51583717
2020-09-06;5;15;27;36;46;2;8;0;38666415
2020-05-06;5;11;17;24;37;3;6;0;29131137
2020-02-06;10;12;22;26;49;7;11;0;17000000
2020-05-29;4;8;11;19;46;4;8;1;17000000
2020-05-26;4;9;14;21;27;4;6;2;37143480
2020-05-22;3;18;22;27;32;2;7;0;28245446
2020-05-19;5;25;32;37;43;6;7;0;17000000
2020-05-15;11;23;32;34;39;1;6;1;72969058
2020-12-05;9;16;29;37;39;4;11;0;63861474
2020-08-05;8;25;32;33;38;7;9;0;57015368
2020-05-05;2;10;22;27;41;2;3;0;48838406
2020-01-05;47;20;19;45;38;2;6;0;41201741
2020-04-28;15;23;26;28;32;1;5;0;32299012
2020-04-24;1;5;19;21;28;4;7;0;25497940
2020-04-21;10;11;14;23;28;6;8;0;17000000
2020-04-17;16;28;32;37;45;1;11;1;67188313
2020-04-14;6;29;34;35;40;4;11;0;59184725
2020-10-04;3;10;17;33;39;1;4;0;53434751
2020-07-04;4;5;14;33;48;7;12;0;45796215
2020-03-04;16;19;34;46;50;2;6;0;39141320
2020-03-31;12;17;24;30;36;1;9;0;30777246
2020-03-27;11;14;27;41;46;2;3;0;24704307
2020-03-24;7;12;26;30;33;10;11;0;17000000
2020-03-20;40;9;20;34;3;6;12;1;17000000
2020-03-17;5;7;8;16;20;2;12;1;63600033
2020-03-13;3;11;21;27;36;9;10;0;55850379
2020-10-03;11;23;30;37;43;5;12;0;40555593
2020-06-03;15;38;43;45;46;1;11;0;30399605
2020-03-03;4;14;27;44;45;1;10;0;17000000
2020-02-28;8;11;20;22;23;3;4;1;67084644
2020-02-25;1;4;18;27;42;4;6;0;51940006
2020-02-21;7;23;30;32;45;5;9;0;41085850
2020-02-18;11;32;34;38;47;2;10;0;27039366
2020-02-14;5;20;35;41;49;6;10;0;17000000
2020-11-02;24;26;32;43;46;6;10;1;17000000
2020-07-02;9;15;17;25;40;3;9;1;130000000
2020-04-02;21;23;33;35;47;6;7;0;40857417
2020-01-31;13;18;20;23;30;2;4;0;28934315
2020-01-28;1;19;27;31;38;4;5;0;17000000
2020-01-24;3;4;6;9;24;5;8;1;28601720
2020-01-21;10;11;24;36;46;3;5;0;17000000
2020-01-17;8;19;20;29;44;3;8;1;100779289
2020-01-14;21;25;29;39;44;8;9;0;91228644
2020-10-01;6;17;32;44;46;2;6;0;84145912
2020-07-01;5;8;12;37;43;6;11;0;75337663
2020-03-01;5;15;20;36;47;8;12;0;64992459
2021-02-02;18;20;35;38;48;9;12;0;41721143
2021-01-29;1;5;27;36;42;1;6;0;30681161
2021-01-26;5;7;25;37;40;2;8;0;17000000
2021-01-22;8;16;42;44;47;6;7;1;80566353
2021-01-19;25;27;31;35;43;5;6;0;67733808
2021-01-15;4;10;27;38;40;3;11;0;56331898
2021-12-01;2;10;18;34;35;6;9;0;41607178
2021-08-01;18;23;37;41;42;4;6;0;30824040
2021-05-01;12;34;37;38;42;1;3;0;17000000
2021-01-01;16;28;32;44;48;1;9;1;44958140
